paper_id,title,abstract,summary,key_points,authors,year,domain,keywords,embedding,uploaded_by,related_paper_id,relation_type,confidence_score,evidence_text,citation_paper_id,citation_context,question,answer
P102,Research Paper 102,This paper discusses AI model 102 and its performance.,Summary of paper 102 showing insights and results.,accuracy;performance,Author102,2019,AI,AI;ML,"[0.1,0.2,0.3]",U3,P204,neutral,0.84,Evidence sentence showing relationship,P351,Citation context text,What is the result?,The model shows improved performance.
P103,Research Paper 103,This paper discusses AI model 103 and its performance.,Summary of paper 103 showing insights and results.,accuracy;performance,Author103,2020,AI,AI;ML,"[0.1,0.2,0.3]",U1,P28,neutral,0.83,Evidence sentence showing relationship,P88,Citation context text,What is the result?,The model shows improved performance.
P104,Research Paper 104,This paper discusses AI model 104 and its performance.,Summary of paper 104 showing insights and results.,accuracy;performance,Author104,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P270,support,0.95,Evidence sentence showing relationship,P485,Citation context text,What is the result?,The model shows improved performance.
P105,Research Paper 105,This paper discusses AI model 105 and its performance.,Summary of paper 105 showing insights and results.,accuracy;performance,Author105,2024,AI,AI;ML,"[0.1,0.2,0.3]",U7,P315,support,0.94,Evidence sentence showing relationship,P440,Citation context text,What is the result?,The model shows improved performance.
P106,Research Paper 106,This paper discusses AI model 106 and its performance.,Summary of paper 106 showing insights and results.,accuracy;performance,Author106,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P156,support,0.8,Evidence sentence showing relationship,P63,Citation context text,What is the result?,The model shows improved performance.
P107,Research Paper 107,This paper discusses AI model 107 and its performance.,Summary of paper 107 showing insights and results.,accuracy;performance,Author107,2021,AI,AI;ML,"[0.1,0.2,0.3]",U6,P221,contradict,0.87,Evidence sentence showing relationship,P244,Citation context text,What is the result?,The model shows improved performance.
P108,Research Paper 108,This paper discusses AI model 108 and its performance.,Summary of paper 108 showing insights and results.,accuracy;performance,Author108,2024,AI,AI;ML,"[0.1,0.2,0.3]",U10,P133,neutral,0.94,Evidence sentence showing relationship,P314,Citation context text,What is the result?,The model shows improved performance.
P109,Research Paper 109,This paper discusses AI model 109 and its performance.,Summary of paper 109 showing insights and results.,accuracy;performance,Author109,2021,AI,AI;ML,"[0.1,0.2,0.3]",U7,P73,contradict,0.82,Evidence sentence showing relationship,P283,Citation context text,What is the result?,The model shows improved performance.
P110,Research Paper 110,This paper discusses AI model 110 and its performance.,Summary of paper 110 showing insights and results.,accuracy;performance,Author110,2021,AI,AI;ML,"[0.1,0.2,0.3]",U2,P114,neutral,0.84,Evidence sentence showing relationship,P343,Citation context text,What is the result?,The model shows improved performance.
P111,Research Paper 111,This paper discusses AI model 111 and its performance.,Summary of paper 111 showing insights and results.,accuracy;performance,Author111,2019,AI,AI;ML,"[0.1,0.2,0.3]",U2,P23,support,0.86,Evidence sentence showing relationship,P499,Citation context text,What is the result?,The model shows improved performance.
P112,Research Paper 112,This paper discusses AI model 112 and its performance.,Summary of paper 112 showing insights and results.,accuracy;performance,Author112,2019,AI,AI;ML,"[0.1,0.2,0.3]",U10,P254,neutral,0.84,Evidence sentence showing relationship,P10,Citation context text,What is the result?,The model shows improved performance.
P113,Research Paper 113,This paper discusses AI model 113 and its performance.,Summary of paper 113 showing insights and results.,accuracy;performance,Author113,2018,AI,AI;ML,"[0.1,0.2,0.3]",U2,P492,contradict,0.89,Evidence sentence showing relationship,P335,Citation context text,What is the result?,The model shows improved performance.
P114,Research Paper 114,This paper discusses AI model 114 and its performance.,Summary of paper 114 showing insights and results.,accuracy;performance,Author114,2018,AI,AI;ML,"[0.1,0.2,0.3]",U2,P175,neutral,0.83,Evidence sentence showing relationship,P193,Citation context text,What is the result?,The model shows improved performance.
P115,Research Paper 115,This paper discusses AI model 115 and its performance.,Summary of paper 115 showing insights and results.,accuracy;performance,Author115,2022,AI,AI;ML,"[0.1,0.2,0.3]",U2,P325,support,0.85,Evidence sentence showing relationship,P102,Citation context text,What is the result?,The model shows improved performance.
P116,Research Paper 116,This paper discusses AI model 116 and its performance.,Summary of paper 116 showing insights and results.,accuracy;performance,Author116,2023,AI,AI;ML,"[0.1,0.2,0.3]",U6,P138,neutral,0.8,Evidence sentence showing relationship,P2,Citation context text,What is the result?,The model shows improved performance.
P117,Research Paper 117,This paper discusses AI model 117 and its performance.,Summary of paper 117 showing insights and results.,accuracy;performance,Author117,2022,AI,AI;ML,"[0.1,0.2,0.3]",U3,P495,contradict,0.9,Evidence sentence showing relationship,P350,Citation context text,What is the result?,The model shows improved performance.
P118,Research Paper 118,This paper discusses AI model 118 and its performance.,Summary of paper 118 showing insights and results.,accuracy;performance,Author118,2024,AI,AI;ML,"[0.1,0.2,0.3]",U6,P202,neutral,0.93,Evidence sentence showing relationship,P250,Citation context text,What is the result?,The model shows improved performance.
P119,Research Paper 119,This paper discusses AI model 119 and its performance.,Summary of paper 119 showing insights and results.,accuracy;performance,Author119,2020,AI,AI;ML,"[0.1,0.2,0.3]",U8,P335,support,0.83,Evidence sentence showing relationship,P444,Citation context text,What is the result?,The model shows improved performance.
P120,Research Paper 120,This paper discusses AI model 120 and its performance.,Summary of paper 120 showing insights and results.,accuracy;performance,Author120,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P413,contradict,0.97,Evidence sentence showing relationship,P183,Citation context text,What is the result?,The model shows improved performance.
P121,Research Paper 121,This paper discusses AI model 121 and its performance.,Summary of paper 121 showing insights and results.,accuracy;performance,Author121,2021,AI,AI;ML,"[0.1,0.2,0.3]",U2,P198,contradict,0.94,Evidence sentence showing relationship,P388,Citation context text,What is the result?,The model shows improved performance.
P122,Research Paper 122,This paper discusses AI model 122 and its performance.,Summary of paper 122 showing insights and results.,accuracy;performance,Author122,2023,AI,AI;ML,"[0.1,0.2,0.3]",U6,P104,contradict,0.91,Evidence sentence showing relationship,P49,Citation context text,What is the result?,The model shows improved performance.
P123,Research Paper 123,This paper discusses AI model 123 and its performance.,Summary of paper 123 showing insights and results.,accuracy;performance,Author123,2021,AI,AI;ML,"[0.1,0.2,0.3]",U2,P140,neutral,0.96,Evidence sentence showing relationship,P292,Citation context text,What is the result?,The model shows improved performance.
P124,Research Paper 124,This paper discusses AI model 124 and its performance.,Summary of paper 124 showing insights and results.,accuracy;performance,Author124,2018,AI,AI;ML,"[0.1,0.2,0.3]",U8,P435,contradict,0.94,Evidence sentence showing relationship,P488,Citation context text,What is the result?,The model shows improved performance.
P125,Research Paper 125,This paper discusses AI model 125 and its performance.,Summary of paper 125 showing insights and results.,accuracy;performance,Author125,2021,AI,AI;ML,"[0.1,0.2,0.3]",U2,P395,neutral,0.88,Evidence sentence showing relationship,P97,Citation context text,What is the result?,The model shows improved performance.
P126,Research Paper 126,This paper discusses AI model 126 and its performance.,Summary of paper 126 showing insights and results.,accuracy;performance,Author126,2020,AI,AI;ML,"[0.1,0.2,0.3]",U7,P483,neutral,0.91,Evidence sentence showing relationship,P196,Citation context text,What is the result?,The model shows improved performance.
P127,Research Paper 127,This paper discusses AI model 127 and its performance.,Summary of paper 127 showing insights and results.,accuracy;performance,Author127,2018,AI,AI;ML,"[0.1,0.2,0.3]",U7,P65,neutral,0.98,Evidence sentence showing relationship,P4,Citation context text,What is the result?,The model shows improved performance.
P128,Research Paper 128,This paper discusses AI model 128 and its performance.,Summary of paper 128 showing insights and results.,accuracy;performance,Author128,2021,AI,AI;ML,"[0.1,0.2,0.3]",U10,P495,support,0.83,Evidence sentence showing relationship,P334,Citation context text,What is the result?,The model shows improved performance.
P129,Research Paper 129,This paper discusses AI model 129 and its performance.,Summary of paper 129 showing insights and results.,accuracy;performance,Author129,2023,AI,AI;ML,"[0.1,0.2,0.3]",U7,P367,neutral,0.81,Evidence sentence showing relationship,P138,Citation context text,What is the result?,The model shows improved performance.
P130,Research Paper 130,This paper discusses AI model 130 and its performance.,Summary of paper 130 showing insights and results.,accuracy;performance,Author130,2020,AI,AI;ML,"[0.1,0.2,0.3]",U6,P209,contradict,0.97,Evidence sentence showing relationship,P18,Citation context text,What is the result?,The model shows improved performance.
P131,Research Paper 131,This paper discusses AI model 131 and its performance.,Summary of paper 131 showing insights and results.,accuracy;performance,Author131,2023,AI,AI;ML,"[0.1,0.2,0.3]",U6,P302,support,0.94,Evidence sentence showing relationship,P19,Citation context text,What is the result?,The model shows improved performance.
P132,Research Paper 132,This paper discusses AI model 132 and its performance.,Summary of paper 132 showing insights and results.,accuracy;performance,Author132,2023,AI,AI;ML,"[0.1,0.2,0.3]",U9,P82,support,0.88,Evidence sentence showing relationship,P359,Citation context text,What is the result?,The model shows improved performance.
P133,Research Paper 133,This paper discusses AI model 133 and its performance.,Summary of paper 133 showing insights and results.,accuracy;performance,Author133,2024,AI,AI;ML,"[0.1,0.2,0.3]",U1,P66,neutral,0.85,Evidence sentence showing relationship,P50,Citation context text,What is the result?,The model shows improved performance.
P134,Research Paper 134,This paper discusses AI model 134 and its performance.,Summary of paper 134 showing insights and results.,accuracy;performance,Author134,2019,AI,AI;ML,"[0.1,0.2,0.3]",U7,P220,neutral,0.93,Evidence sentence showing relationship,P372,Citation context text,What is the result?,The model shows improved performance.
P135,Research Paper 135,This paper discusses AI model 135 and its performance.,Summary of paper 135 showing insights and results.,accuracy;performance,Author135,2022,AI,AI;ML,"[0.1,0.2,0.3]",U3,P363,support,0.86,Evidence sentence showing relationship,P440,Citation context text,What is the result?,The model shows improved performance.
P136,Research Paper 136,This paper discusses AI model 136 and its performance.,Summary of paper 136 showing insights and results.,accuracy;performance,Author136,2022,AI,AI;ML,"[0.1,0.2,0.3]",U10,P300,support,0.87,Evidence sentence showing relationship,P168,Citation context text,What is the result?,The model shows improved performance.
P137,Research Paper 137,This paper discusses AI model 137 and its performance.,Summary of paper 137 showing insights and results.,accuracy;performance,Author137,2020,AI,AI;ML,"[0.1,0.2,0.3]",U8,P324,contradict,0.91,Evidence sentence showing relationship,P4,Citation context text,What is the result?,The model shows improved performance.
P138,Research Paper 138,This paper discusses AI model 138 and its performance.,Summary of paper 138 showing insights and results.,accuracy;performance,Author138,2023,AI,AI;ML,"[0.1,0.2,0.3]",U5,P414,support,0.83,Evidence sentence showing relationship,P368,Citation context text,What is the result?,The model shows improved performance.
P139,Research Paper 139,This paper discusses AI model 139 and its performance.,Summary of paper 139 showing insights and results.,accuracy;performance,Author139,2023,AI,AI;ML,"[0.1,0.2,0.3]",U5,P4,contradict,0.97,Evidence sentence showing relationship,P381,Citation context text,What is the result?,The model shows improved performance.
P140,Research Paper 140,This paper discusses AI model 140 and its performance.,Summary of paper 140 showing insights and results.,accuracy;performance,Author140,2023,AI,AI;ML,"[0.1,0.2,0.3]",U10,P275,neutral,0.93,Evidence sentence showing relationship,P15,Citation context text,What is the result?,The model shows improved performance.
P141,Research Paper 141,This paper discusses AI model 141 and its performance.,Summary of paper 141 showing insights and results.,accuracy;performance,Author141,2023,AI,AI;ML,"[0.1,0.2,0.3]",U10,P268,contradict,0.93,Evidence sentence showing relationship,P396,Citation context text,What is the result?,The model shows improved performance.
P142,Research Paper 142,This paper discusses AI model 142 and its performance.,Summary of paper 142 showing insights and results.,accuracy;performance,Author142,2019,AI,AI;ML,"[0.1,0.2,0.3]",U3,P268,neutral,0.83,Evidence sentence showing relationship,P144,Citation context text,What is the result?,The model shows improved performance.
P143,Research Paper 143,This paper discusses AI model 143 and its performance.,Summary of paper 143 showing insights and results.,accuracy;performance,Author143,2024,AI,AI;ML,"[0.1,0.2,0.3]",U2,P417,support,0.83,Evidence sentence showing relationship,P43,Citation context text,What is the result?,The model shows improved performance.
P144,Research Paper 144,This paper discusses AI model 144 and its performance.,Summary of paper 144 showing insights and results.,accuracy;performance,Author144,2023,AI,AI;ML,"[0.1,0.2,0.3]",U8,P85,contradict,0.84,Evidence sentence showing relationship,P199,Citation context text,What is the result?,The model shows improved performance.
P145,Research Paper 145,This paper discusses AI model 145 and its performance.,Summary of paper 145 showing insights and results.,accuracy;performance,Author145,2022,AI,AI;ML,"[0.1,0.2,0.3]",U9,P160,neutral,0.95,Evidence sentence showing relationship,P149,Citation context text,What is the result?,The model shows improved performance.
P146,Research Paper 146,This paper discusses AI model 146 and its performance.,Summary of paper 146 showing insights and results.,accuracy;performance,Author146,2018,AI,AI;ML,"[0.1,0.2,0.3]",U3,P233,contradict,0.86,Evidence sentence showing relationship,P308,Citation context text,What is the result?,The model shows improved performance.
P147,Research Paper 147,This paper discusses AI model 147 and its performance.,Summary of paper 147 showing insights and results.,accuracy;performance,Author147,2019,AI,AI;ML,"[0.1,0.2,0.3]",U5,P112,support,0.91,Evidence sentence showing relationship,P238,Citation context text,What is the result?,The model shows improved performance.
P148,Research Paper 148,This paper discusses AI model 148 and its performance.,Summary of paper 148 showing insights and results.,accuracy;performance,Author148,2019,AI,AI;ML,"[0.1,0.2,0.3]",U6,P479,neutral,0.96,Evidence sentence showing relationship,P283,Citation context text,What is the result?,The model shows improved performance.
P149,Research Paper 149,This paper discusses AI model 149 and its performance.,Summary of paper 149 showing insights and results.,accuracy;performance,Author149,2021,AI,AI;ML,"[0.1,0.2,0.3]",U5,P458,neutral,0.94,Evidence sentence showing relationship,P304,Citation context text,What is the result?,The model shows improved performance.
P150,Research Paper 150,This paper discusses AI model 150 and its performance.,Summary of paper 150 showing insights and results.,accuracy;performance,Author150,2021,AI,AI;ML,"[0.1,0.2,0.3]",U3,P103,contradict,0.86,Evidence sentence showing relationship,P410,Citation context text,What is the result?,The model shows improved performance.
P151,Research Paper 151,This paper discusses AI model 151 and its performance.,Summary of paper 151 showing insights and results.,accuracy;performance,Author151,2021,AI,AI;ML,"[0.1,0.2,0.3]",U4,P140,neutral,0.96,Evidence sentence showing relationship,P183,Citation context text,What is the result?,The model shows improved performance.
P152,Research Paper 152,This paper discusses AI model 152 and its performance.,Summary of paper 152 showing insights and results.,accuracy;performance,Author152,2018,AI,AI;ML,"[0.1,0.2,0.3]",U6,P465,neutral,0.81,Evidence sentence showing relationship,P325,Citation context text,What is the result?,The model shows improved performance.
P153,Research Paper 153,This paper discusses AI model 153 and its performance.,Summary of paper 153 showing insights and results.,accuracy;performance,Author153,2018,AI,AI;ML,"[0.1,0.2,0.3]",U2,P3,neutral,0.95,Evidence sentence showing relationship,P352,Citation context text,What is the result?,The model shows improved performance.
P154,Research Paper 154,This paper discusses AI model 154 and its performance.,Summary of paper 154 showing insights and results.,accuracy;performance,Author154,2023,AI,AI;ML,"[0.1,0.2,0.3]",U3,P349,neutral,0.97,Evidence sentence showing relationship,P431,Citation context text,What is the result?,The model shows improved performance.
P155,Research Paper 155,This paper discusses AI model 155 and its performance.,Summary of paper 155 showing insights and results.,accuracy;performance,Author155,2019,AI,AI;ML,"[0.1,0.2,0.3]",U10,P399,contradict,0.82,Evidence sentence showing relationship,P312,Citation context text,What is the result?,The model shows improved performance.
P156,Research Paper 156,This paper discusses AI model 156 and its performance.,Summary of paper 156 showing insights and results.,accuracy;performance,Author156,2020,AI,AI;ML,"[0.1,0.2,0.3]",U2,P302,contradict,0.93,Evidence sentence showing relationship,P313,Citation context text,What is the result?,The model shows improved performance.
P157,Research Paper 157,This paper discusses AI model 157 and its performance.,Summary of paper 157 showing insights and results.,accuracy;performance,Author157,2019,AI,AI;ML,"[0.1,0.2,0.3]",U1,P325,contradict,0.86,Evidence sentence showing relationship,P171,Citation context text,What is the result?,The model shows improved performance.
P158,Research Paper 158,This paper discusses AI model 158 and its performance.,Summary of paper 158 showing insights and results.,accuracy;performance,Author158,2024,AI,AI;ML,"[0.1,0.2,0.3]",U8,P202,neutral,0.95,Evidence sentence showing relationship,P461,Citation context text,What is the result?,The model shows improved performance.
P159,Research Paper 159,This paper discusses AI model 159 and its performance.,Summary of paper 159 showing insights and results.,accuracy;performance,Author159,2024,AI,AI;ML,"[0.1,0.2,0.3]",U10,P425,contradict,0.92,Evidence sentence showing relationship,P412,Citation context text,What is the result?,The model shows improved performance.
P160,Research Paper 160,This paper discusses AI model 160 and its performance.,Summary of paper 160 showing insights and results.,accuracy;performance,Author160,2024,AI,AI;ML,"[0.1,0.2,0.3]",U6,P118,contradict,0.87,Evidence sentence showing relationship,P198,Citation context text,What is the result?,The model shows improved performance.
P161,Research Paper 161,This paper discusses AI model 161 and its performance.,Summary of paper 161 showing insights and results.,accuracy;performance,Author161,2023,AI,AI;ML,"[0.1,0.2,0.3]",U4,P41,support,0.84,Evidence sentence showing relationship,P174,Citation context text,What is the result?,The model shows improved performance.
P162,Research Paper 162,This paper discusses AI model 162 and its performance.,Summary of paper 162 showing insights and results.,accuracy;performance,Author162,2022,AI,AI;ML,"[0.1,0.2,0.3]",U9,P115,neutral,0.89,Evidence sentence showing relationship,P189,Citation context text,What is the result?,The model shows improved performance.
P163,Research Paper 163,This paper discusses AI model 163 and its performance.,Summary of paper 163 showing insights and results.,accuracy;performance,Author163,2019,AI,AI;ML,"[0.1,0.2,0.3]",U4,P4,support,0.88,Evidence sentence showing relationship,P209,Citation context text,What is the result?,The model shows improved performance.
P164,Research Paper 164,This paper discusses AI model 164 and its performance.,Summary of paper 164 showing insights and results.,accuracy;performance,Author164,2018,AI,AI;ML,"[0.1,0.2,0.3]",U5,P345,support,0.92,Evidence sentence showing relationship,P280,Citation context text,What is the result?,The model shows improved performance.
P165,Research Paper 165,This paper discusses AI model 165 and its performance.,Summary of paper 165 showing insights and results.,accuracy;performance,Author165,2019,AI,AI;ML,"[0.1,0.2,0.3]",U4,P128,support,0.83,Evidence sentence showing relationship,P304,Citation context text,What is the result?,The model shows improved performance.
P166,Research Paper 166,This paper discusses AI model 166 and its performance.,Summary of paper 166 showing insights and results.,accuracy;performance,Author166,2024,AI,AI;ML,"[0.1,0.2,0.3]",U10,P176,contradict,0.96,Evidence sentence showing relationship,P455,Citation context text,What is the result?,The model shows improved performance.
P167,Research Paper 167,This paper discusses AI model 167 and its performance.,Summary of paper 167 showing insights and results.,accuracy;performance,Author167,2020,AI,AI;ML,"[0.1,0.2,0.3]",U10,P290,support,0.87,Evidence sentence showing relationship,P257,Citation context text,What is the result?,The model shows improved performance.
P168,Research Paper 168,This paper discusses AI model 168 and its performance.,Summary of paper 168 showing insights and results.,accuracy;performance,Author168,2018,AI,AI;ML,"[0.1,0.2,0.3]",U2,P127,support,0.95,Evidence sentence showing relationship,P450,Citation context text,What is the result?,The model shows improved performance.
P169,Research Paper 169,This paper discusses AI model 169 and its performance.,Summary of paper 169 showing insights and results.,accuracy;performance,Author169,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P437,neutral,0.8,Evidence sentence showing relationship,P307,Citation context text,What is the result?,The model shows improved performance.
P170,Research Paper 170,This paper discusses AI model 170 and its performance.,Summary of paper 170 showing insights and results.,accuracy;performance,Author170,2018,AI,AI;ML,"[0.1,0.2,0.3]",U3,P419,neutral,0.9,Evidence sentence showing relationship,P415,Citation context text,What is the result?,The model shows improved performance.
P171,Research Paper 171,This paper discusses AI model 171 and its performance.,Summary of paper 171 showing insights and results.,accuracy;performance,Author171,2020,AI,AI;ML,"[0.1,0.2,0.3]",U5,P175,contradict,0.86,Evidence sentence showing relationship,P63,Citation context text,What is the result?,The model shows improved performance.
P172,Research Paper 172,This paper discusses AI model 172 and its performance.,Summary of paper 172 showing insights and results.,accuracy;performance,Author172,2023,AI,AI;ML,"[0.1,0.2,0.3]",U6,P177,contradict,0.85,Evidence sentence showing relationship,P398,Citation context text,What is the result?,The model shows improved performance.
P173,Research Paper 173,This paper discusses AI model 173 and its performance.,Summary of paper 173 showing insights and results.,accuracy;performance,Author173,2023,AI,AI;ML,"[0.1,0.2,0.3]",U2,P445,neutral,0.84,Evidence sentence showing relationship,P240,Citation context text,What is the result?,The model shows improved performance.
P174,Research Paper 174,This paper discusses AI model 174 and its performance.,Summary of paper 174 showing insights and results.,accuracy;performance,Author174,2022,AI,AI;ML,"[0.1,0.2,0.3]",U1,P402,contradict,0.93,Evidence sentence showing relationship,P382,Citation context text,What is the result?,The model shows improved performance.
P175,Research Paper 175,This paper discusses AI model 175 and its performance.,Summary of paper 175 showing insights and results.,accuracy;performance,Author175,2023,AI,AI;ML,"[0.1,0.2,0.3]",U1,P269,neutral,0.98,Evidence sentence showing relationship,P281,Citation context text,What is the result?,The model shows improved performance.
P176,Research Paper 176,This paper discusses AI model 176 and its performance.,Summary of paper 176 showing insights and results.,accuracy;performance,Author176,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P177,contradict,0.94,Evidence sentence showing relationship,P288,Citation context text,What is the result?,The model shows improved performance.
P177,Research Paper 177,This paper discusses AI model 177 and its performance.,Summary of paper 177 showing insights and results.,accuracy;performance,Author177,2022,AI,AI;ML,"[0.1,0.2,0.3]",U6,P2,support,0.86,Evidence sentence showing relationship,P226,Citation context text,What is the result?,The model shows improved performance.
P178,Research Paper 178,This paper discusses AI model 178 and its performance.,Summary of paper 178 showing insights and results.,accuracy;performance,Author178,2022,AI,AI;ML,"[0.1,0.2,0.3]",U5,P428,contradict,0.88,Evidence sentence showing relationship,P27,Citation context text,What is the result?,The model shows improved performance.
P179,Research Paper 179,This paper discusses AI model 179 and its performance.,Summary of paper 179 showing insights and results.,accuracy;performance,Author179,2019,AI,AI;ML,"[0.1,0.2,0.3]",U5,P41,neutral,0.89,Evidence sentence showing relationship,P468,Citation context text,What is the result?,The model shows improved performance.
P180,Research Paper 180,This paper discusses AI model 180 and its performance.,Summary of paper 180 showing insights and results.,accuracy;performance,Author180,2018,AI,AI;ML,"[0.1,0.2,0.3]",U5,P497,support,0.97,Evidence sentence showing relationship,P334,Citation context text,What is the result?,The model shows improved performance.
P181,Research Paper 181,This paper discusses AI model 181 and its performance.,Summary of paper 181 showing insights and results.,accuracy;performance,Author181,2020,AI,AI;ML,"[0.1,0.2,0.3]",U8,P44,neutral,0.96,Evidence sentence showing relationship,P12,Citation context text,What is the result?,The model shows improved performance.
P182,Research Paper 182,This paper discusses AI model 182 and its performance.,Summary of paper 182 showing insights and results.,accuracy;performance,Author182,2019,AI,AI;ML,"[0.1,0.2,0.3]",U4,P204,support,0.91,Evidence sentence showing relationship,P183,Citation context text,What is the result?,The model shows improved performance.
P183,Research Paper 183,This paper discusses AI model 183 and its performance.,Summary of paper 183 showing insights and results.,accuracy;performance,Author183,2024,AI,AI;ML,"[0.1,0.2,0.3]",U9,P305,contradict,0.89,Evidence sentence showing relationship,P301,Citation context text,What is the result?,The model shows improved performance.
P184,Research Paper 184,This paper discusses AI model 184 and its performance.,Summary of paper 184 showing insights and results.,accuracy;performance,Author184,2023,AI,AI;ML,"[0.1,0.2,0.3]",U1,P42,contradict,0.81,Evidence sentence showing relationship,P217,Citation context text,What is the result?,The model shows improved performance.
P185,Research Paper 185,This paper discusses AI model 185 and its performance.,Summary of paper 185 showing insights and results.,accuracy;performance,Author185,2018,AI,AI;ML,"[0.1,0.2,0.3]",U7,P232,support,0.94,Evidence sentence showing relationship,P488,Citation context text,What is the result?,The model shows improved performance.
P186,Research Paper 186,This paper discusses AI model 186 and its performance.,Summary of paper 186 showing insights and results.,accuracy;performance,Author186,2021,AI,AI;ML,"[0.1,0.2,0.3]",U7,P114,contradict,0.82,Evidence sentence showing relationship,P144,Citation context text,What is the result?,The model shows improved performance.
P187,Research Paper 187,This paper discusses AI model 187 and its performance.,Summary of paper 187 showing insights and results.,accuracy;performance,Author187,2024,AI,AI;ML,"[0.1,0.2,0.3]",U1,P273,neutral,0.94,Evidence sentence showing relationship,P195,Citation context text,What is the result?,The model shows improved performance.
P188,Research Paper 188,This paper discusses AI model 188 and its performance.,Summary of paper 188 showing insights and results.,accuracy;performance,Author188,2018,AI,AI;ML,"[0.1,0.2,0.3]",U3,P85,neutral,0.96,Evidence sentence showing relationship,P457,Citation context text,What is the result?,The model shows improved performance.
P189,Research Paper 189,This paper discusses AI model 189 and its performance.,Summary of paper 189 showing insights and results.,accuracy;performance,Author189,2018,AI,AI;ML,"[0.1,0.2,0.3]",U1,P148,neutral,0.89,Evidence sentence showing relationship,P232,Citation context text,What is the result?,The model shows improved performance.
P190,Research Paper 190,This paper discusses AI model 190 and its performance.,Summary of paper 190 showing insights and results.,accuracy;performance,Author190,2023,AI,AI;ML,"[0.1,0.2,0.3]",U2,P203,contradict,0.87,Evidence sentence showing relationship,P378,Citation context text,What is the result?,The model shows improved performance.
P191,Research Paper 191,This paper discusses AI model 191 and its performance.,Summary of paper 191 showing insights and results.,accuracy;performance,Author191,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P256,contradict,0.81,Evidence sentence showing relationship,P460,Citation context text,What is the result?,The model shows improved performance.
P192,Research Paper 192,This paper discusses AI model 192 and its performance.,Summary of paper 192 showing insights and results.,accuracy;performance,Author192,2019,AI,AI;ML,"[0.1,0.2,0.3]",U9,P267,neutral,0.97,Evidence sentence showing relationship,P404,Citation context text,What is the result?,The model shows improved performance.
P193,Research Paper 193,This paper discusses AI model 193 and its performance.,Summary of paper 193 showing insights and results.,accuracy;performance,Author193,2023,AI,AI;ML,"[0.1,0.2,0.3]",U4,P119,support,0.97,Evidence sentence showing relationship,P224,Citation context text,What is the result?,The model shows improved performance.
P194,Research Paper 194,This paper discusses AI model 194 and its performance.,Summary of paper 194 showing insights and results.,accuracy;performance,Author194,2019,AI,AI;ML,"[0.1,0.2,0.3]",U7,P257,support,0.81,Evidence sentence showing relationship,P321,Citation context text,What is the result?,The model shows improved performance.
P195,Research Paper 195,This paper discusses AI model 195 and its performance.,Summary of paper 195 showing insights and results.,accuracy;performance,Author195,2018,AI,AI;ML,"[0.1,0.2,0.3]",U8,P181,neutral,0.84,Evidence sentence showing relationship,P71,Citation context text,What is the result?,The model shows improved performance.
P196,Research Paper 196,This paper discusses AI model 196 and its performance.,Summary of paper 196 showing insights and results.,accuracy;performance,Author196,2021,AI,AI;ML,"[0.1,0.2,0.3]",U2,P123,neutral,0.97,Evidence sentence showing relationship,P302,Citation context text,What is the result?,The model shows improved performance.
P197,Research Paper 197,This paper discusses AI model 197 and its performance.,Summary of paper 197 showing insights and results.,accuracy;performance,Author197,2023,AI,AI;ML,"[0.1,0.2,0.3]",U8,P153,neutral,0.94,Evidence sentence showing relationship,P265,Citation context text,What is the result?,The model shows improved performance.
P198,Research Paper 198,This paper discusses AI model 198 and its performance.,Summary of paper 198 showing insights and results.,accuracy;performance,Author198,2019,AI,AI;ML,"[0.1,0.2,0.3]",U4,P434,support,0.85,Evidence sentence showing relationship,P15,Citation context text,What is the result?,The model shows improved performance.
P199,Research Paper 199,This paper discusses AI model 199 and its performance.,Summary of paper 199 showing insights and results.,accuracy;performance,Author199,2023,AI,AI;ML,"[0.1,0.2,0.3]",U10,P381,support,0.84,Evidence sentence showing relationship,P104,Citation context text,What is the result?,The model shows improved performance.
P200,Research Paper 200,This paper discusses AI model 200 and its performance.,Summary of paper 200 showing insights and results.,accuracy;performance,Author200,2022,AI,AI;ML,"[0.1,0.2,0.3]",U1,P59,neutral,0.96,Evidence sentence showing relationship,P427,Citation context text,What is the result?,The model shows improved performance.
P201,Research Paper 201,This paper discusses AI model 201 and its performance.,Summary of paper 201 showing insights and results.,accuracy;performance,Author201,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P428,support,0.93,Evidence sentence showing relationship,P217,Citation context text,What is the result?,The model shows improved performance.
P202,Research Paper 202,This paper discusses AI model 202 and its performance.,Summary of paper 202 showing insights and results.,accuracy;performance,Author202,2018,AI,AI;ML,"[0.1,0.2,0.3]",U5,P461,contradict,0.83,Evidence sentence showing relationship,P221,Citation context text,What is the result?,The model shows improved performance.
P203,Research Paper 203,This paper discusses AI model 203 and its performance.,Summary of paper 203 showing insights and results.,accuracy;performance,Author203,2019,AI,AI;ML,"[0.1,0.2,0.3]",U1,P438,neutral,0.82,Evidence sentence showing relationship,P424,Citation context text,What is the result?,The model shows improved performance.
